SK_ID_CURR,avg_income
114967,9274.673008323425
336147,1146.2105196128375
385674,996.2364401151207
190160,547.945205479452
219563,417.51716459454445
310601,373.63408059023834
157471,360.4325190228274
252084,348.9995346672871
199821,269.6548418024928
337151,243.75710958236283
141198,243.62367661212704
429258,241.65939450896153
196091,240.76187758596092
317748,240.44883783061715
432980,239.56558773424192
217276,235.32048408785298
445335,234.30843510366373
387126,230.46532045654084
304300,223.5839682013912
123587,207.24967490247073
399467,195.92192148610405
441639,192.4557351809084
440768,192.04096873999788
225210,188.75388133737036
206341,186.00165334802975
134526,183.68846436443792
214063,180.08271655144367
336135,177.46478873239437
111903,174.13512885999535
269498,172.6027397260274
194130,172.0051983793288
431111,166.75931072818233
251262,159.32023366967604
422344,157.1448526330493
268905,156.8272112636788
411086,156.30168706582865
204565,155.29481364622362
440695,155.19619865113427
370371,153.2399299474606
186724,152.47001423053467
177152,146.4486209421528
333985,144.9182017261368
439846,143.71749247194086
148308,143.14928425357874
297099,135.77391129437797
233366,133.5063971815316
327048,130.59376632422078
452764,130.37599793973732
261411,129.77649603460708
305140,129.32892656990947
283559,128.42465753424656
441287,128.07134048003036
298097,126.28287363694676
120659,125.1303441084463
151635,124.90815576781777
439616,124.26362297496318
255032,122.49564459930313
396363,121.57880841327115
363367,120.50497322111706
127883,119.75251147628235
228262,116.43379906852961
145858,116.0126038384417
191316,115.74818339656613
353685,115.11132164850781
410465,114.22886937431394
387025,114.21319796954315
203174,114.1455990530143
388040,114.10287370200435
302018,113.98176291793312
260713,113.12217194570135
301256,110.89206505667816
103938,110.5379513633014
282469,110.12542061792597
441052,108.69565217391305
248689,108.6890888231387
164348,108.29803619561032
186089,107.31319554848966
285199,107.27056019070322
172449,106.98227298568402
349197,106.53179812762295
208675,106.33270321361059
164105,105.19917710865906
339303,105.00933416303671
288105,104.8462255358807
372511,104.7277079593058
454569,104.27125975129374
123321,104.02219140083218
217381,103.85414262635588
102015,103.83129426915647
183074,103.6531994287557
275260,103.52443176589675
327395,103.51173132955068
114000,102.70220923863428
197688,101.93910837259877
425042,101.48195876288659
206692,101.44417048256429
341464,101.25220113480728
395550,101.09633357296909
234902,100.84517864003074
377954,99.96297667530544
339713,98.97070467141727
138790,98.91849116328146
266899,98.85281913595314
334680,98.50419554906968
347227,97.86863853849499
419053,97.3648860080465
112894,96.10593009183455
363186,95.875234361684
108224,95.2074326188943
134013,95.15083168875105
242333,94.99014916971574
116374,94.84066767830045
210485,94.49149576538112
389945,94.23830746925844
406032,94.00459578023815
390234,93.75460614152203
387923,93.53175922846691
443181,93.50843653894107
152445,93.37649402390439
362648,93.3609958506224
370279,93.15805817203189
180436,93.03370786516854
129799,92.81540048126504
290319,92.18477926866741
128777,91.60714285714286
105384,91.33346864217576
365355,91.08082579948724
373399,91.06853750674581
216425,91.04888313370023
226949,91.01021336838912
153645,90.78071414161792
350500,90.14561984744587
144916,90.13520280420632
340846,90.08558130223713
383219,89.9640143942423
110860,89.83829107606309
255468,89.74870362983646
131330,89.59772450223487
325853,88.65946883127118
333893,87.99865906805229
327736,87.61357315038012
157123,87.55545178613121
308295,87.45141588006663
386569,87.440896431116
119830,87.31760322881092
186375,87.23466123873219
408335,86.90790811140475
219132,86.82057082030471
168118,86.81299837091657
275257,86.54678334455237
290410,86.37989704214291
355310,86.14088820826953
